## Symbol Dependencies
name,kind,location,is_cycle,is_static,dependencies
xmlNanoHTTPClose,function,nanohttp.c:89,,,
xmlNanoHTTPMethodRedir,function,nanohttp.c:105,,,
xmlNanoHTTPFetch,function,nanohttp.c:147,,,
xmlNanoHTTPSave,function,nanohttp.c:162,,,
xmlNanoHTTPReturnCode,function,nanohttp.c:175,,,
xmlNanoHTTPContentLength,function,nanohttp.c:197,,,
xmlIOHTTPMatch,function,nanohttp.c:241,,,
xmlIOHTTPRead,function,nanohttp.c:281,,,
xmlIOHTTPClose,function,nanohttp.c:293,,,
xmlRegisterHTTPPostCallbacks,function,nanohttp.c:301,,,
xmlHasFeature,function,parser.c:510,,,xmlFeature;XMLPUBFUN
xmlParserNsCreate,function,parser.c:1436,,,xmlParserNsData
xmlParserNsFree,function,parser.c:1453,,,xmlParserNsData;XML_HIDDEN
xmlParserNodeInfo,struct,include/libxml/parser.h:149,,,
xmlAttrHashBucket,struct,include/private/parser.h:59,,,
xmlSAXHandlerV1,struct,include/libxml/parser.h:1190,,,cdataBlockSAXFunc;resolveEntitySAXFunc;notationDeclSAXFunc;commentSAXFunc;unparsedEntityDeclSAXFunc;hasExternalSubsetSAXFunc;isStandaloneSAXFunc;entityDeclSAXFunc;warningSAXFunc;startElementSAXFunc;endElementSAXFunc;charactersSAXFunc;processingInstructionSAXFunc;fatalErrorSAXFunc;referenceSAXFunc;elementDeclSAXFunc;endDocumentSAXFunc;startDocumentSAXFunc;ignorableWhitespaceSAXFunc;hasInternalSubsetSAXFunc;getEntitySAXFunc;errorSAXFunc;internalSubsetSAXFunc;attributeDeclSAXFunc;getParameterEntitySAXFunc;externalSubsetSAXFunc;setDocumentLocatorSAXFunc
xmlSAXHandler,struct,include/libxml/parser.h:998,,,cdataBlockSAXFunc;resolveEntitySAXFunc;startElementNsSAX2Func;notationDeclSAXFunc;commentSAXFunc;unparsedEntityDeclSAXFunc;hasExternalSubsetSAXFunc;xmlStructuredErrorFunc;isStandaloneSAXFunc;entityDeclSAXFunc;warningSAXFunc;startElementSAXFunc;endElementSAXFunc;charactersSAXFunc;processingInstructionSAXFunc;fatalErrorSAXFunc;referenceSAXFunc;elementDeclSAXFunc;endDocumentSAXFunc;endElementNsSAX2Func;startDocumentSAXFunc;ignorableWhitespaceSAXFunc;hasInternalSubsetSAXFunc;getEntitySAXFunc;errorSAXFunc;internalSubsetSAXFunc;attributeDeclSAXFunc;getParameterEntitySAXFunc;externalSubsetSAXFunc;setDocumentLocatorSAXFunc
xmlCheckVersion,function,parserInternals.c:72,,,XMLPUBFUN
xmlCtxtResetLastError,function,parserInternals.c:156,,,xmlParserCtxtPtr;XMLPUBFUN
xmlIsLetter,function,parserInternals.c:507,,,
xmlSetExternalEntityLoader,function,parserInternals.c:2562,,,XMLPUBFUN;xmlExternalEntityLoader
xmlPedanticParserDefault,function,parserInternals.c:3425,,,
xmlLineNumbersDefault,function,parserInternals.c:3442,,,
xmlSubstituteEntitiesDefault,function,parserInternals.c:3456,,,
xmlKeepBlanksDefault,function,parserInternals.c:3473,,,XMLPUBFUN
xmlFreePattern,function,pattern.c:222,,,xmlPattern;XMLPUBFUN
xmlFreePatternList,function,pattern.c:262,,,xmlPattern;XMLPUBFUN;xmlPatternPtr
xmlFreeStreamCtxt,function,pattern.c:1548,,,xmlStreamCtxt;XMLPUBFUN;xmlStreamCtxtPtr
xmlStreamPop,function,pattern.c:2001,,,xmlStreamCtxt;XMLPUBFUN
xmlStreamWantsAnyNode,function,pattern.c:2047,,,xmlStreamCtxt;XMLPUBFUN
xmlPatternGetStreamCtxt,function,pattern.c:2242,,,xmlStreamCtxt;xmlPattern;xmlStreamCtxtPtr
xmlPatternStreamable,function,pattern.c:2278,,,xmlPattern;XMLPUBFUN
xmlPatternMaxDepth,function,pattern.c:2297,,,xmlPattern;XMLPUBFUN
xmlPatternMinDepth,function,pattern.c:2322,,,xmlPattern;XMLPUBFUN
